CL:0000000	cell
DOID:3193	peripheral nerve sheath neoplasm
DOID:3211	lysosomal storage metabolic disease
DOID:3247	rhabdomyosarcoma
DOID:326	ischemia
DOID:3277	thymus cancer
DOID:3284	thymic carcinoma
DOID:3307	teratoma
DOID:331	central nervous system disease
DOID:3320	Tay-Sachs disease
DOID:3321	gangliosidosis GM2
DOID:3347	osteosarcoma
DOID:3350	mesenchymal cell neoplasm
DOID:3369	peripheral primitive neuroectodermal tumor
DOID:3371	chondrosarcoma
DOID:3394	myocardial ischemia
DOID:3451	skin carcinoma
DOID:3491	Turner's syndrome
DOID:3493	signet ring cell adenocarcinoma
DOID:3498	pancreatic ductal adenocarcinoma
DOID:3565	meningioma
DOID:3571	liver cancer
DOID:3603	mucinous cystadenocarcinoma
DOID:3620	central nervous system cancer
DOID:3650	lactic acidosis
DOID:3672	rhabdoid cancer
DOID:3904	bronchogenic carcinoma
DOID:3905	lung carcinoma
DOID:3908	non-small cell lung carcinoma
DOID:3910	lung adenocarcinoma
DOID:3963	thyroid carcinoma
DOID:3978	extrinsic cardiomyopathy
DOID:3996	urinary system cancer
DOID:4	disease
DOID:403	mouth disease
DOID:4043	skeletal muscle cancer
DOID:4045	muscle cancer
DOID:4074	pancreas adenocarcinoma
DOID:409	liver disease
DOID:4159	skin cancer
DOID:423	myopathy
DOID:4230	smooth muscle cancer
DOID:4231	histiocytoma
DOID:4235	spindle cell sarcoma
DOID:4236	carcinosarcoma
DOID:4305	bone giant cell tumor
DOID:4362	cervical cancer
DOID:4418	cutaneous fibrous histiocytoma
DOID:4430	somatostatinoma
DOID:4450	renal cell carcinoma
DOID:4451	renal carcinoma
DOID:4468	clear cell adenocarcinoma
DOID:450	myotonic disease
DOID:4549	extraosseous chondrosarcoma
DOID:4556	lung large cell carcinoma
DOID:4645	retinal cancer
DOID:4830	adenosquamous carcinoma
DOID:4905	pancreatic carcinoma
DOID:4929	tubular adenocarcinoma
DOID:496	spindle cell hemangioma
DOID:4960	bone marrow cancer
DOID:5093	thoracic cancer
DOID:5409	lung small cell carcinoma
DOID:5614	eye disease
DOID:5662	pleomorphic carcinoma
DOID:5679	retinal disease
DOID:5688	Werner syndrome
DOID:5844	myocardial infarction
DOID:5861	myxoid chondrosarcoma
DOID:6193	epithelioid sarcoma
DOID:630	genetic disease
DOID:6496	extraskeletal myxoid chondrosarcoma
DOID:65	connective tissue disease
DOID:655	inherited metabolic disorder
DOID:66	muscle tissue disease
DOID:688	embryonal cancer
DOID:7	disease of anatomical entity
DOID:706	mature B-cell lymphocytic neoplasm
DOID:707	B-cell lymphocytic neoplasm
DOID:74	hematopoietic system disease
DOID:768	retinoblastoma
DOID:769	neuroblastoma
DOID:77	gastrointestinal system disease
DOID:771	retinal cell cancer
DOID:854	collagen disease
DOID:8552	chronic myeloid leukemia
DOID:863	nervous system disease
DOID:8675	lymphosarcoma
DOID:8691	mycosis fungoides
DOID:8692	myeloid leukemia
DOID:893	Wilson disease
DOID:896	metal metabolism disorder
DOID:9119	acute myeloid leukemia
DOID:936	brain disease
DOID:9455	lipid storage disease
DOID:9597	Krukenberg carcinoma
DOID:962	neurofibroma
DOID:9893	periodontosis
EFO:0000001	experimental factor
EFO:0000324	cell type
EFO:0000369	compound based treatment
EFO:0000408	disease
EFO:0000544	infection
EFO:0000602	BALB/c
EFO:0000606	C57BL/6J
EFO:0000635	organism part
EFO:0000683	replicate
EFO:0000684	respiratory system disease
EFO:0000700	integumental cell
EFO:0000727	treatment
EFO:0000771	bacterial disease
EFO:0000774	tuberculosis
EFO:0000786	anatomy basic component
EFO:0000787	animal component
EFO:0000801	muscular system
EFO:0000809	animal reproductive system
EFO:0000970	male reproductive system
EFO:0000984	testis
EFO:0001426	study design
EFO:0001461	control
EFO:0001746	development or differentiation design
EFO:0001949	muscle
EFO:0002090	technical replicate
EFO:0002091	biological replicate
EFO:0002694	experimental process
EFO:0002955	reproductive system cell
EFO:0002956	musculo-skeletal system cell
EFO:0002962	animal reproductive system cell
EFO:0002963	nervous system cell
EFO:0002966	pancreatic cell
EFO:0003818	lung disease
EFO:0003858	skeleton structure
EFO:0003864	genitourinary system
FF:0000001	FANTOM5 Sample Ontology
FF:0000002	in vivo cell sample
FF:0000003	cell line sample
FF:0000004	tissue sample
FF:0000009	amniotic epithelial cell
FF:0000010	amniotic membrane cell- Amnion
FF:0000011	subcutaneous adipocyte
FF:0000012	alveolar epithelial cell
FF:0000013	basophil
FF:0000014	intrahepatic biliary epithelial cell
FF:0000015	bronchial epithelial cell
FF:0000016	canine sample
FF:0000017	canine aortic smooth muscle cell
FF:0000018	canine hepatocyte
FF:0000019	canine mesenchymal stem cell
FF:0000020	CD133-positive progenitor cell- bone marrow derived
FF:0000021	hematopoeitic stem cell
FF:0000022	CD133-positive stem cell - cord blood derived
FF:0000023	CD133-positive hematopoietic stem cell-3HBiomedical
FF:0000024	CD14-positive monocyte
FF:0000025	CD19-positive B cell
FF:0000026	CD34-positive hematopoietic stem cell
FF:0000027	CD133-positive hematopoeitic stem cell
FF:0000030	CD8-positive T cell
FF:0000031	CD4-positive T cell
FF:0000032	chicken sample
FF:0000033	chicken aortic smooth muscle cell
FF:0000034	chicken hepatocyte
FF:0000035	chicken mesenchymal stem cell
FF:0000037	chondrocyte
FF:0000038	chorionic membrane stem cell
FF:0000039	adipocyte of omentum tissue
FF:0000040	ciliary epithelial cell
FF:0000041	common myeloid progenitor
FF:0000042	pancreatic stromal cell
FF:0000043	corneal epithelial cell
FF:0000044	monocyte immature derived dendritic cell
FF:0000045	plasmacytoid dendritic cell
FF:0000046	endothelial cell
FF:0000047	endothelial cell of the artery
FF:0000048	endothelial cell of the aorta
FF:0000049	lymphatic endothelial cell
FF:0000050	microvascular endothelial cell
FF:0000051	thoracic endothelial cell
FF:0000052	endothelial cell of the vein
FF:0000054	eosinophil
FF:0000056	epithelial cell of esophagus
FF:0000057	fibroblast
FF:0000058	fibroblast of the aortic adventitia
FF:0000059	cardiac fibroblast
FF:0000060	fibroblast of choroid plexus
FF:0000061	fibroblast of conjuctivia
FF:0000062	dermal fibroblast
FF:0000063	fibroblast of gingiva
FF:0000064	fibroblast of lung
FF:0000065	fibroblast of lymphatic vessel
FF:0000066	fibroblast of mammary gland
FF:0000067	fibroblast of periodontium
FF:0000068	fibroblast of pulmonary artery
FF:0000069	fibroblast of villous mesenchyme
FF:0000070	granulocyte macrophage progenitor cell
FF:0000071	hair follicle dermal papilla cell
FF:0000072	hair follicle cell
FF:0000073	hair follicle germinal matrix cell
FF:0000074	inner root sheat cell
FF:0000075	outer root sheath cell
FF:0000076	hepatic sinusoidal endothelial cell
FF:0000077	hepatic stellate cell
FF:0000078	human hepatocyte
FF:0000079	Lgr5-positive intestinal epithelial stem cell
FF:0000080	intestinal epithelial cell
FF:0000081	iris pigment epithelial cell
FF:0000082	epidermal keratinocyte
FF:0000083	oral mucosa keratinocyte
FF:0000084	keratocyte
FF:0000085	lens epithelial cell
FF:0000086	macrophage
FF:0000087	Malassez derived epithelial cell
FF:0000088	mammary epithelial cell
FF:0000089	dark melanocyte
FF:0000090	light melanocyte
FF:0000091	leptomeningeal cell
FF:0000092	amniotic membrane cell
FF:0000093	vertebral mesenchymal stem cell
FF:0000094	mesenchymal stem cell of umbilical cord-Sciencell
FF:0000095	mesenchymal stem cell of Wharton's jelly
FF:0000096	mesenchymal stem cell of adipose
FF:0000097	human mesenchymal stem cell of bone marrow
FF:0000098	hepatic mesenchymal stem cell
FF:0000099	mesothelial cell
FF:0000100	microglial cell
FF:0000101	sample by species
FF:0000102	sample by type
FF:0000103	mouse sample
FF:0000104	mouse aortic smooth muscle cell
FF:0000105	mouse astrocyte
FF:0000106	mouse cardiac myocyte
FF:0000107	mouse embryonic fibroblast
FF:0000108	mouse granule cell
FF:0000109	mouse hepatocyte
FF:0000110	mouse fibroblast of lymphatic vessel
FF:0000111	mouse leptomeningeal cell
FF:0000112	mouse mesenchymal stem cell of bone marrow
FF:0000113	mouse microglial cell
FF:0000114	mouse pituitary cell
FF:0000115	mouse kidney epithelial cell
FF:0000116	mouse Schwann cell
FF:0000117	mesenchymal stem cell of umbilical cord blood
FF:0000118	cardiac myocyte
FF:0000119	natural killer cell
FF:0000120	neural stem cell
FF:0000122	neutrophil
FF:0000123	nucleus pulposus cell of intervertebral disc
FF:0000125	oligodendrocyte precursor
FF:0000126	oligospheres
FF:0000127	osteoblast-Sciencell
FF:0000128	osteoblast-Cell applications
FF:0000133	pericyte
FF:0000134	perineural cell
FF:0000135	peripheral blood mononuclear cell
FF:0000136	placental epithelial cell
FF:0000137	preadipocyte
FF:0000139	preadipocyte of the breast
FF:0000140	omentum preadipocyte
FF:0000141	perirenal preadipocyte
FF:0000142	subcutaneous preadipocyte
FF:0000143	visceral preadipocyte
FF:0000144	promyelocyte/myelocyte
FF:0000145	prostate epithelial cell
FF:0000146	stromal cell of pancreas
FF:0000147	rat sample
FF:0000148	rat aortic smooth muscle cell
FF:0000149	rat mesenchymal bone cell
FF:0000150	rat hepatocyte
FF:0000151	renal epithelial cell
FF:0000152	renal cortical epithelial cell
FF:0000153	renal glomerular endothelial cell
FF:0000154	renal mesangial cell
FF:0000155	renal proximal tubular epithelial cell
FF:0000156	adipocyte of breast
FF:0000158	retinal pigment epithelial cell
FF:0000159	Schwann cell
FF:0000160	sebocyte
FF:0000161	sertoli cell
FF:0000162	skeletal muscle cell
FF:0000164	skeletal muscle myoblast
FF:0000165	skeletal muscle satellite cell
FF:0000166	small airway epithelial cell
FF:0000167	smooth muscle cell sample
FF:0000168	human aortic smooth muscle cell
FF:0000169	smooth muscle cell of the brachiocephalic vasculature
FF:0000170	smooth muscle cell of the brain vasculature
FF:0000171	smooth muscle cell of the carotid artery
FF:0000172	smooth muscle cell of coronary artery
FF:0000173	smooth muscle cell of the internal thoracic artery
FF:0000174	smooth muscle cell of pulmonary artery
FF:0000175	smooth muscle cell of subclavian artery
FF:0000176	smooth muscle cell of umbilical artery
FF:0000177	smooth muscle cell of umbilical vein
FF:0000178	smooth muscle cell of bladder
FF:0000179	bronchial smooth muscle cell
FF:0000180	smooth muscle cell of intestine
FF:0000181	smooth muscle of colon
FF:0000182	esophageal smooth muscle cell
FF:0000183	smooth muscle cell of prostate
FF:0000184	smooth muscle cell of trachea
FF:0000185	uterine smooth muscle cell
FF:0000187	synovial cell
FF:0000188	trabecular meshwork cell
FF:0000189	tracheal epithelial cell
