p.value	ID	category.name
1.23626562002919e-10	CL:0000945	lymphocyte of B lineage
1.3055672147231e-10	DOID:0050687	cell type cancer
2.00349405580237e-10	UBERON:0004120	mesoderm-derived structure
3.01842955712182e-10	DOID:162	cancer
3.23491848109605e-10	DOID:14566	disease of cellular proliferation
6.03702435048673e-10	EFO:0000700	integumental cell
6.13426124951044e-10	DOID:0060083	immune system cancer
6.13426124951044e-10	DOID:2531	hematologic cancer
1.12579780886042e-09	CL:0000094	granulocyte
6.89614684897844e-09	CL:0000236	B cell
6.89614684897844e-09	FF:0000025	CD19-positive B cell
6.95982839279803e-09	DOID:1036	chronic leukemia
8.63294482119605e-09	CL:0000325	stuff accumulating cell
1.20104073830897e-08	UBERON:0000062	organ
1.60994642460108e-08	FF:0101035	hematopoietic cell line
1.72413728278068e-08	DOID:1240	leukemia
1.72413728278068e-08	FF:0100737	leukemia cell line
2.00483508864695e-08	UBERON:0004119	endoderm-derived structure
2.11628016111478e-08	UBERON:0000125	neural nucleus
2.11628016111478e-08	UBERON:0002308	nucleus of brain
2.64235022980539e-08	FF:0000406	nuclear fraction
2.64235022980539e-08	FF:0000408	cellular fractionation
3.74997125757325e-08	FF:0104978	HEp-2 cell
3.74997125757325e-08	UBERON:0000477	anatomical cluster
3.74997125757325e-08	UBERON:0000480	anatomical group
3.74997125757325e-08	UBERON:0001737	larynx
5.75529654746403e-08	CL:0002077	ecto-epithelial cell
7.30558060748267e-08	DOID:0050686	organ system cancer
1.2871880012045e-07	FF:0102580	chronic myeloid leukemia cell line
1.5275843262778e-07	CL:0000081	blood cell
2.74805203274169e-07	UBERON:0002791	regional part of telencephalon
3.33257675980701e-07	DOID:1749	squamous cell carcinoma
3.33257675980701e-07	FF:0102024	squamous cell carcinoma cell line
1.19652047682458e-06	CL:0000789	alpha-beta T cell
1.19652047682458e-06	CL:0000791	mature alpha-beta T cell
1.19652047682458e-06	CL:0002419	mature T cell
1.62109227867232e-06	UBERON:0000077	mixed endoderm/mesoderm-derived structure
3.21133816138754e-06	CL:0000084	T cell
3.52069274919371e-06	UBERON:0000200	gyrus
3.52069274919371e-06	UBERON:0009663	telencephalic nucleus
4.46167781765189e-06	CL:1000413	endothelial cell of artery
4.46167781765189e-06	FF:0000047	endothelial cell of the artery
5.2365369808958e-06	FF:0000281	whole blood
7.9110695416752e-06	FF:0100664	K-562 cell
1.28804937079595e-05	CL:0000359	vascular associated smooth muscle cell
1.33702921628152e-05	CL:0002620	skin fibroblast
1.33702921628152e-05	FF:0000250	fibroblast of skin
1.47233624606935e-05	FF:0010053	blood - adult
1.5524297938134e-05	DOID:8692	myeloid leukemia
1.5524297938134e-05	FF:0100740	myeloid leukemia cell line
1.60973400507039e-05	CL:0002393	intermediate monocyte
1.60973400507039e-05	CL:0002397	CD14-positive, CD16-positive monocyte
1.83601002261627e-05	UBERON:0002530	gland
2.00248465154411e-05	FF:0000632	group A streptococci treatment
2.23481220919333e-05	CL:0000187	muscle cell
2.23481220919333e-05	EFO:0002956	musculo-skeletal system cell
2.28233663249467e-05	EFO:0000369	compound based treatment
2.33351571870233e-05	CL:0002319	neural cell
2.84178164523789e-05	CL:0000134	mesenchymal cell
3.55578362535918e-05	UBERON:0005177	trunk organ
3.69583326322271e-05	FF:0000272	ovarian cancer mesenchymal precursor cell
4.23392585155817e-05	CL:0000057	fibroblast
4.26196603347081e-05	CL:0000723	somatic stem cell
4.29979589128066e-05	CL:0000192	smooth muscle cell
4.45116154719489e-05	UBERON:0002680	regional part of metencephalon
4.45116154719489e-05	UBERON:0003296	gland of diencephalon
4.84596607980884e-05	CL:0000048	multipotent stem cell
5.40106370516933e-05	CL:0000625	CD8-positive, alpha-beta T cell
5.40106370516933e-05	FF:0000030	CD8-positive T cell
6.72071909683929e-05	FF:0000999	fetal tissue sample
6.95040122643555e-05	CL:0000181	metabolising cell
6.95040122643555e-05	CL:0000182	hepatocyte
6.95040122643555e-05	CL:0000412	polyploid cell
6.95040122643555e-05	CL:0000414	cell by ploidy
6.95040122643555e-05	CL:0000417	endopolyploid cell
6.95040122643555e-05	CL:0000668	parenchymal cell
7.07961260359832e-05	CL:0000136	fat cell
7.07961260359832e-05	FF:0000266	mature adipocyte
7.49175906502847e-05	CL:0002567	light melanocyte
7.49175906502847e-05	FF:0000090	light melanocyte
7.49175906502847e-05	FF:0000730	Melanocyte (MC)
7.57834825885449e-05	DOID:299	adenocarcinoma
8.8104115844951e-05	UBERON:0002365	exocrine gland
9.03309726839138e-05	UBERON:0000178	blood
9.03309726839138e-05	UBERON:0000179	haemolymphatic fluid
9.03309726839138e-05	UBERON:0000463	portion of organism substance
0.000121991027887556	CL:0002076	endo-epithelial cell
0.000123661990754892	CL:0000055	non-terminally differentiated cell
0.000154682228143807	CL:0002150	epitheloid cell
0.000154682228143807	FF:0011472	epitheloid carcinoma cell line: HelaS3 ENCODE
0.000184379334833572	CL:0000183	contractile cell
0.000184379334833572	CL:0000211	electrically active cell
0.000184379334833572	CL:0000393	electrically responsive cell
0.000185149480602464	FF:0000057	fibroblast
0.000213721036268265	CL:0002321	embryonic cell
0.000245793808487059	FF:0100167	adenocarcinoma cell line
0.000264868050530961	CL:0002368	respiratory epithelial cell
0.000264868050530961	DOID:2394	ovarian cancer
0.000269547978126397	UBERON:0000078	mixed ectoderm/mesoderm/endoderm-derived structure
0.000280242126796278	EFO:0002963	nervous system cell
0.000332208170510709	UBERON:0005172	abdomen organ
0.000332208170510709	UBERON:0005173	abdominal segment organ
0.000367966883118751	CL:0002334	preadipocyte
0.000367966883118751	FF:0000137	preadipocyte
0.000384382292378587	CL:0002544	aortic endothelial cell
0.000384382292378587	FF:0000048	endothelial cell of the aorta
0.000493150508620734	CL:0000623	natural killer cell
0.000493150508620734	CL:0000767	basophil
0.000493150508620734	CL:0000775	neutrophil
0.000493150508620734	FF:0000013	basophil
0.000493150508620734	FF:0000024	CD14-positive monocyte
0.000493150508620734	FF:0000031	CD4-positive T cell
0.000493150508620734	FF:0000119	natural killer cell
0.000493150508620734	FF:0000122	neutrophil
0.000493150508620734	FF:0000212	basophil heparinase treated
0.000493150508620734	FF:0000335	LPS treatment
0.000493150508620734	FF:0000628	Bacillus Calmette-Guerin treatment
0.000493150508620734	FF:0000630	beta-glucan treatment
0.000493150508620734	FF:0000631	trehalose dimycolate (TDM) treatment
0.000493150508620734	FF:0000633	Salmonella treatment
0.000493150508620734	FF:0000634	Cryptococcus treatment
0.000493150508620734	FF:0000635	Candida treatment
0.000493150508620734	FF:0011101	CD14-positive monocytes - mock treated
0.000493150508620734	FF:0011102	CD14-positive monocytes - treated with B-glucan
0.000493150508620734	FF:0011103	CD14-positive monocytes - treated with BCG
0.000493150508620734	FF:0011104	CD14-positive monocytes - treated with Candida
0.000493150508620734	FF:0011105	CD14-positive monocytes - treated with Cryptococcus
0.000493150508620734	FF:0011106	CD14-positive monocytes - treated with Group A streptococci
0.000493150508620734	FF:0011108	CD14-positive monocytes - treated with lipopolysaccharide
0.000493150508620734	FF:0011109	CD14-positive monocytes - treated with Salmonella
0.000493150508620734	FF:0011444	CD14-positive monocytes - treated with Trehalose dimycolate (TDM)
0.000519480519480519	CL:0000098	sensory epithelial cell
0.000519480519480519	CL:0000197	receptor cell
0.000519480519480519	CL:0002167	olfactory epithelial cell
0.000519480519480519	DOID:2994	germ cell cancer
0.000519480519480519	DOID:3095	germ cell and embryonal cancer
0.000519480519480519	FF:0200002	olfactory epithelial cell
0.00051948051948052	EFO:0000683	replicate
0.00051948051948052	EFO:0002091	biological replicate
0.00051948051948052	snap:Role	role
0.00051948051948052	snap:SpecificallyDependentContinuant	material property
0.000520374178905785	FF:0101883	acute myeloid leukemia cell line
0.000555454807156997	CL:0002605	astrocyte of the cerebral cortex
0.000555454807156997	FF:0000194	astrocyte of the cerebral cortex
0.000555454807156997	FF:0000348	human neuron samples
0.000555454807156997	FF:0010034	parietal lobe - adult
0.000555454807156997	FF:0010083	cerebellum - adult
0.000555454807156997	UBERON:0001872	parietal lobe
0.000555454807156997	UBERON:0002021	occipital lobe
0.000555454807156997	UBERON:0002037	cerebellum
0.000555454807156997	UBERON:0006331	brainstem nucleus
0.000587072055370164	FF:0000167	smooth muscle cell sample
0.000587905935050392	CL:0000784	plasmacytoid dendritic cell
0.000587905935050392	FF:0000045	plasmacytoid dendritic cell
0.000587905935050392	FF:0101370	THP-1 cell
0.000587905935050392	FF:0102332	monocytic leukemia cell line
0.000634313356825091	DOID:171	neuroectodermal tumor
0.000658618386065503	FF:0100773	lymphoblastoid cell line
0.000701344243132671	CL:0000039	germ line cell
0.000701344243132671	CL:0000586	germ cell
0.000701344243132671	UBERON:0000473	testis
0.000701344243132671	UBERON:0003135	male reproductive organ
0.000791146273167697	CL:0000451	dendritic cell
0.000791146273167697	CL:0000453	Langerhans cell
0.000791146273167697	CL:0000990	conventional dendritic cell
0.000791146273167697	FF:0011136	migratory langerhans cells
0.00079611495900008	FF:0000668	Fibroblast - skin normal, nuclear fraction
0.000965821048243019	CL:0000034	stem cell
0.00103199174406605	CL:0002092	bone marrow cell
0.00103199174406605	CL:0002540	mesenchymal stem cell of the bone marrow
0.00103199174406605	FF:0000097	human mesenchymal stem cell of bone marrow
0.00107906050957954	CL:0000153	GAG secreting cell
0.00107906050957954	CL:0000447	carbohydrate secreting cell
0.00132467667812357	UBERON:0000922	embryo
0.00136643850738406	UBERON:0005057	immune organ
0.001374910630809	DOID:7	disease of anatomical entity
0.00140301661359548	FF:0000343	control treatment
0.00148312940304042	CL:0002322	embryonic stem cell
0.00148312940304042	FF:0000400	H9 embryonic stem cell line
0.00148312940304042	FF:0100669	embryonic cell line
0.00148312940304042	FF:0101581	embryonic stem cell line
0.00155775981648164	CL:0002543	vein endothelial cell
0.00155775981648164	FF:0000052	endothelial cell of the vein
0.00169276759260644	EFO:0002955	reproductive system cell
0.00181245078135511	UBERON:0002107	liver
0.00181245078135511	UBERON:0002368	endocrine gland
0.00181245078135511	UBERON:0006925	digestive gland
0.0018269753377642	EFO:0000001	experimental factor
0.0018269753377642	UBERON:0007100	circulatory organ
0.00185907976393411	FF:0000261	mast cell- heparinase treated
0.00208828438221214	UBERON:0000923	germ layer
0.00208828438221214	UBERON:0002346	neural ectoderm
0.00208828438221214	UBERON:0005291	embryonic tissue
0.00212561197440934	CL:0002494	cardiocyte
0.00215393138160462	FF:0000037	chondrocyte
0.00218318139399351	UBERON:0005156	reproductive structure
0.0021978021978022	CL:0000097	mast cell
0.0021978021978022	CL:0000151	secretory cell
0.0021978021978022	CL:0000163	endocrine cell
0.0021978021978022	CL:0000457	biogenic amine secreting cell
0.0021978021978022	CL:0002274	histamine secreting cell
0.0021978021978022	FF:0000260	mast cell
0.00219939093789412	FF:0101522	B-lymphocyte cell line
0.00227396663820511	CL:0000235	macrophage
0.00227396663820511	FF:0000086	macrophage
0.00232172470978441	DOID:0060058	lymphoma
0.00232172470978441	FF:0100104	lymphoma cell line
0.00240160345260765	FF:0000102	sample by type
0.00241448692152917	FF:0102553	non-small cell lung cancer cell line
0.00246305418719212	DOID:3093	nervous system cancer
0.00246305418719212	FF:0100016	A-172 cell
0.00246305418719212	FF:0100255	brain cell line
0.00246305418719212	FF:0100690	brain cancer cell line
0.00246305418719212	FF:0100711	glioma cell line
0.00246305418719212	FF:0101530	glioblastoma cell line
0.00246305418719212	FF:0101531	glial cell line
0.00246305418719212	UBERON:0000955	brain
0.00267308206361935	CL:0000080	circulating cell
0.00267308206361935	CL:0000840	immature conventional dendritic cell
0.00267308206361935	CL:0001014	CD1a-positive Langerhans cell
0.00267308206361935	CL:0001016	immature CD1a-positive Langerhans cell
0.00267308206361935	FF:0011135	immature langerhans cells
0.00267308206361935	FF:0104053	umbilical cord blood
0.00272155721749134	FF:0102424	mesothelioma cell line
0.00272232304900182	FF:0000151	renal epithelial cell
0.00273800157356412	CL:0000079	stratified epithelial cell
0.00273800157356412	CL:0000237	keratinizing barrier epithelial cell
0.00273800157356412	CL:0000240	stratified squamous epithelial cell
0.00273800157356412	CL:0000311	keratin accumulating cell
0.00273800157356412	CL:0000362	epidermal cell
0.00295086096766648	FF:0010026	testis - adult
0.00295086096766648	UBERON:0002370	thymus
0.00295086096766648	UBERON:0005058	hemolymphoid system gland
0.00306928081023866	CL:0000083	exocrine pancreas cell
0.00306928081023866	DOID:170	endocrine gland cancer
0.00306928081023866	DOID:1793	pancreatic cancer
0.00306928081023866	UBERON:0000344	mucosa
0.00306928081023866	UBERON:0004923	organ component layer
0.00326828531851438	UBERON:0000991	gonad
0.00390362452570911	UBERON:0003133	reproductive organ
0.00425531914893617	CL:0000842	mononuclear cell
0.00425531914893617	FF:0000135	peripheral blood mononuclear cell
0.00425531914893617	FF:0010060	thyroid - fetal
0.00476190476190476	CL:0002573	Schwann cell
0.00476190476190476	FF:0103225	neurilemoma cell line
0.0049079754601227	FF:0010059	tongue - fetal
0.0049079754601227	FF:0010199	parotid gland - adult
0.0049079754601227	FF:0010203	tongue - adult
0.0049079754601227	FF:0010209	throat - adult
0.0049079754601227	UBERON:0001831	parotid gland
0.0049079979959859	FF:0101533	gastrointestinal cancer cell
0.0049079979959859	UBERON:0002050	embryonic structure
0.0049079979959859	UBERON:0005423	developing anatomical structure
0.00495867768595041	DOID:1192	peripheral nervous system neoplasm
0.00504993827853215	CL:0000188	skeletal muscle cell
0.00504993827853215	EFO:0000801	muscular system
0.00504993827853215	EFO:0001949	muscle
0.00515693073708545	FF:0000010	amniotic membrane cell- Amnion
0.00532435845041858	UBERON:0003103	compound organ
0.0057110862262038	FF:0000638	Streptococcus strain 5448 treatment
0.0057110862262038	FF:0000639	Streptococcus strain JRS4 treatment
0.0057110862262038	FF:0011132	Hep-2 cells mock treated
0.0057110862262038	FF:0011133	Hep-2 cells treated with Streptococci strain 5448
0.0057110862262038	FF:0011134	Hep-2 cells treated with Streptococci strain JRS4
0.00586624127125854	CL:0002202	epithelial cell of tracheobronchial tree
0.00586624127125854	CL:0002632	epithelial cell of lower respiratory tract
0.00602409638554217	FF:0000262	mast cell- stimulated
0.00606060606060606	FF:0000044	monocyte immature derived dendritic cell
0.00607526328427841	CL:0002138	endothelial cell of lymphatic vessel
0.00607526328427841	FF:0000049	lymphatic endothelial cell
0.00633267875355833	CL:0000771	eosinophil
0.00633267875355833	FF:0000054	eosinophil
0.00633267875355833	FF:0000249	eosinophil- heparinase treated
0.00667408231368188	UBERON:0005178	thoracic cavity organ
0.00667408231368188	UBERON:0005181	thoracic segment organ
0.00684289463817023	CL:0000047	neuronal stem cell
0.00684289463817023	FF:0000120	neural stem cell
0.00684289463817023	FF:0010012	brain - adult
0.00684289463817023	FF:0010150	medial temporal gyrus - adult
0.00684289463817023	FF:0010151	amygdala - adult donor
0.00684289463817023	FF:0010153	hippocampus - adult
0.00684289463817023	FF:0010154	thalamus - adult donor
0.00684289463817023	FF:0010159	spinal cord - adult
0.00684289463817023	FF:0010160	pineal gland - adult
0.00684289463817023	FF:0010161	globus pallidus - adult donor
0.00684289463817023	FF:0010162	pituitary gland - adult
0.00684289463817023	FF:0010163	occipital cortex - adult donor
0.00684289463817023	FF:0010164	caudate nucleus - adult donor
0.00684289463817023	FF:0011487	locus coeruleus- adult
0.00684289463817023	UBERON:0000007	pituitary gland
0.00684289463817023	UBERON:0001873	caudate nucleus
0.00684289463817023	UBERON:0001876	amygdala
0.00684289463817023	UBERON:0001897	thalamus
0.00684289463817023	UBERON:0001905	pineal body
0.00684289463817023	UBERON:0002148	locus ceruleus
0.00684289463817023	UBERON:0002757	regional part of epithalamus
0.00684289463817023	UBERON:0002784	regional part of diencephalon
0.00684289463817023	UBERON:0009662	hindbrain nucleus
0.00684289463817023	UBERON:0010133	neuroendocrine gland
0.00699300699300699	CL:0000558	reticulocyte
0.00699300699300699	CL:0000764	erythroid lineage cell
0.00699300699300699	FF:0011169	Reticulocytes
0.00699643190836412	CL:0002251	epithelial cell of alimentary canal
0.00699643190836412	DOID:120	female reproductve organ cancer
0.007103490508267	CL:0000082	epithelial cell of lung
0.007103490508267	DOID:0050615	respiratory system cancer
0.007103490508267	DOID:1324	lung cancer
0.007103490508267	FF:0100353	lung cell line
0.007103490508267	FF:0100762	lung cancer cell line
0.007103490508267	UBERON:0000171	respiration organ
0.007103490508267	UBERON:0002048	lung
0.00712816949922964	DOID:3905	lung carcinoma
0.00719256265674294	CL:0000077	mesothelial cell
0.00719256265674294	CL:0002159	general ecto-epithelial cell
0.00727272727272728	DOID:3307	teratoma
0.00756756756756757	CL:0002195	hepatic stem cell
0.00756756756756757	CL:0002571	hepatic mesenchymal stem cell
0.00756756756756757	DOID:1115	sarcoma
0.00756756756756757	FF:0000098	hepatic mesenchymal stem cell
0.00756756756756757	FF:0100400	sarcoma cell line
0.00756756756756757	FF:0100739	lymphoblastic leukemia cell line
0.00756756756756757	FF:0100741	lymphocytic leukemia cell line
0.00756756756756757	FF:0102144	acute lymphoblastic leukemia cell line
0.00756756756756757	UBERON:0002384	connective tissue
0.00799992855193088	CL:0000095	neuron associated cell
0.00803549547922766	CL:0000327	extracellular matrix secreting cell
0.0082610187100554	CL:0000624	CD4-positive, alpha-beta T cell
0.0084985493230174	CL:0000224	cell by nuclear number
0.00854700854700854	FF:0011112	CD14-positiveCD16-positive Monocytes
0.00876680303915837	DOID:0080000	muscular disease
0.00876680303915837	DOID:11722	myotonic dystrophy
0.00876680303915837	DOID:17	musculoskeletal system disease
0.00876680303915837	DOID:423	myopathy
0.00876680303915837	DOID:450	myotonic disease
0.00876680303915837	DOID:66	muscle tissue disease
0.00876680303915837	FF:0000253	fibroblast- skin dystrophia myotonica
0.00909031631472922	FF:0000078	human hepatocyte
0.00909031631472922	FF:0010016	heart - adult
0.00909031631472922	FF:0100578	hepatoma cell line
0.00909031631472922	FF:0100599	Hep-G2 cell
0.00923007033384048	CL:0000404	electrically signaling cell
0.00923007033384048	CL:0000540	neuron
0.00949796472184532	FF:0000332	calcification induced with ascorbate and BPG
0.00949796472184532	FF:0000344	0 minute
0.00949796472184532	FF:0000593	Saos2 osteosarcoma cell line 0min after induction of calcification with ascorbate and BPG
0.00949796472184532	FF:0100971	SAOS-2 cell
0.00949796472184532	UO:0000031	minute
0.0097716180025075	CL:0000125	glial cell
0.0097716180025075	CL:0000243	glial cell (sensu Vertebrata)
0.00979786255859875	UBERON:0000341	throat
0.00979786255859875	UBERON:0001723	tongue
0.00979786255859875	UBERON:0001829	major salivary gland
0.00980239647410309	CL:0000138	chondrocyte
0.00980239647410309	CL:0000667	collagen secreting cell
0.00980239647410309	CL:0002569	mesenchymal stem cell of umbilical cord
0.00999835010724304	UBERON:0000475	organism subdivision
0.0100738697437655	CL:0002556	fibroblast of periodontium
0.0100738697437655	FF:0000067	fibroblast of periodontium
0.0100738697437655	UBERON:0003134	female reproductive organ
0.0108907384455441	CL:0000499	stromal cell
0.0110426115306477	CL:1000449	epithelial cell of nephron
0.011187004883089	CL:0002595	smooth muscle cell of the subclavian artery
0.011187004883089	FF:0000275	mesenchymal precursor cell- ovarian cancer-right ovary
0.0111968993201883	CL:0000875	non-classical monocyte
0.0111968993201883	CL:0002396	CD14-low, CD16-positive monocyte
0.0111968993201883	FF:0011100	CD14-CD16-positive Monocytes
0.0111968993201883	FF:0102062	B-lymphoblastoid cell line
0.0124731182795699	CL:0000312	keratinocyte
0.0124731182795699	CL:0002328	bronchial epithelial cell
0.0124731182795699	FF:0000015	bronchial epithelial cell
0.0124731182795699	FF:0000082	epidermal keratinocyte
0.0125585856733346	EFO:0002966	pancreatic cell
0.0133195204972621	FF:0101575	choriocarcinoma cell line
0.0133195204972621	FF:0102027	oral cancer cell line
0.0133195204972621	FF:0102211	oral squamous cell carcinoma cell line
0.0133195204972621	FF:0102709	head and neck squamous cell carcinoma cell line
0.0133195204972621	UBERON:0000033	head
0.0133195204972621	UBERON:0000058	duct
0.0133195204972621	UBERON:0000974	neck
0.0133195204972621	UBERON:0003343	mucosa of oral region
0.0133195204972621	UBERON:0003729	mouth mucosa
0.0133195204972621	UBERON:0003928	digestive system duct
0.0133195204972621	UBERON:0004111	anatomical conduit
0.0133195204972621	UBERON:0004785	respiratory system mucosa
0.0137931034482759	CL:0000150	glandular epithelial cell
0.0137931034482759	CL:0000154	protein secreting cell
0.0137931034482759	CL:0000622	acinar cell
0.0137931034482759	CL:0002623	acinar cell of salivary gland
0.0137931034482759	FF:0000278	salivary acinar cell
0.0145377011048653	UBERON:0002075	viscus
0.0146697057932428	UBERON:0001044	salivary gland
0.0146697057932428	UBERON:0003293	gland of oral region
0.0146697057932428	UBERON:0003294	gland of foregut
0.0146697057932428	UBERON:0003408	gland of gut
0.0146697057932428	UBERON:0010047	oral gland
0.0151918869901336	CL:0000126	macroglial cell
0.0151918869901336	CL:0000127	astrocyte
0.0151918869901336	CL:0000128	oligodendrocyte
0.015625	CL:0002563	intestinal epithelial cell
0.015625	FF:0100003	intestinal cell line
0.015625	UBERON:0000160	intestine
0.015625	UBERON:0000481	multi-tissue structure
0.015625	UBERON:0004185	endodermal gut
0.015625	UBERON:0004921	subdivision of digestive tract
0.0169488115316783	UBERON:0002046	thyroid gland
0.0175438596491228	CL:0002166	epithelial cell of Malassez
0.0175438596491228	FF:0000087	Malassez derived epithelial cell
0.0178132678132678	CL:0002570	mesenchymal stem cell of adipose
0.0178571428571428	EFO:0001461	control
0.0178571428571428	FF:0200003	iPS differentiation to neuron, control
0.0178571428571428	FF:0200005	iPS differentiation to neuron
0.0181137192140126	CL:0002537	amnion mesenchymal stem cell
0.0181137192140126	FF:0000092	amniotic membrane cell
0.0185185185185185	FF:0010013	cervix - adult
0.0185185185185185	FF:0010052	aorta - adult
0.0185185185185185	FF:0010055	uterus - fetal
0.0185185185185185	UBERON:0000055	vessel
0.0185185185185185	UBERON:0000947	aorta
0.0185185185185185	UBERON:0001637	artery
0.0185185185185185	UBERON:0001981	blood vessel
0.0185185185185185	UBERON:0003509	arterial blood vessel
0.0185185185185185	UBERON:0004573	systemic artery
0.0185185185185185	UBERON:0005795	embryonic uterus
0.0187374310318156	CL:0002518	kidney epithelial cell
0.0187374310318156	CL:0002584	renal cortical epithelial cell
0.0187374310318156	CL:0002681	kidney cortical cell
0.0187374310318156	CL:1000497	kidney cell
0.018956022028893	CL:0000898	naive T cell
0.0194177743001967	FF:0010038	medulla oblongata - adult
0.0194177743001967	UBERON:0001896	medulla oblongata
0.0194177743001967	UBERON:0002240	spinal cord
0.0194177743001967	UBERON:0005174	back organ
0.0194805194805195	CL:0000342	pigment cell (sensu Vertebrata)
0.0194805194805195	CL:0002565	iris pigment epithelial cell
0.0194805194805195	FF:0000081	iris pigment epithelial cell
0.0194805194805195	FF:0010207	heart, tricuspid valve - adult
0.0194805194805195	UBERON:0000946	cardial valve
0.0194805194805195	UBERON:0002133	atrioventricular valve
0.0194805194805195	UBERON:0002134	tricuspid valve
0.0194805194805195	UBERON:0003978	valve
0.0194805194805195	UBERON:0005208	right atrium valve
0.0198675496688742	FF:0000673	Small Airway Epithelial Cells, nuclear fraction
0.02	DOID:10165	endocrine pancreas cancer
0.02	DOID:1798	pancreatic endocrine carcinoma
0.02	DOID:1799	islet cell tumor
0.02	FF:0103533	NOR-P1 cell
0.0202702702702703	CL:0000135	fibrocyte
0.0202702702702703	CL:0000386	attachment cell
0.0202702702702703	CL:0000388	tendon cell
0.0202702702702703	CL:0000630	supportive cell
0.0202702702702703	EFO:0003858	skeleton structure
0.0202702702702703	FF:0000280	tenocyte
0.0202702702702703	FF:0010017	kidney - adult
0.0204081632653061	CL:0000557	granulocyte monocyte progenitor cell
0.0204081632653061	CL:0002032	hematopoietic oligopotent progenitor cell
0.0204081632653061	FF:0000070	granulocyte macrophage progenitor cell
0.0204081632653061	FF:0010062	stomach - fetal
0.0204081632653061	UBERON:0000945	stomach
0.0204081632653061	UBERON:0010039	food storage organ
0.0206896551724138	DOID:4468	clear cell adenocarcinoma
0.0206896551724138	FF:0100067	kidney cell line
0.0206896551724138	FF:0100383	renal cell carcinoma cell line
0.0206896551724138	FF:0102403	OS-RC-2 cell
0.0206896551724138	FF:0102787	clear cell adenocarcinoma cell
0.0206896551724138	FF:0103192	renal cancer cell line
0.0206896551724138	UBERON:0000489	cavitated compound organ
0.0206896551724138	UBERON:0002113	kidney
0.0206896551724138	UBERON:0006554	urinary system structure
0.0216660496112551	UBERON:0000479	tissue
0.0217785843920145	DOID:1612	breast cancer
0.0217785843920145	DOID:5093	thoracic cancer
0.0217785843920145	FF:0000330	EGF1 treatment
